policy,ops,update_ratio,hot_ratio,hot_weight,seed,host_writes,device_writes,WAF,GC_count,avg_erase,min_erase,max_erase,wear_delta,free_pages,total_pages,gc_time_total_ms,gc_time_avg_ms,gc_time_p50_ms,gc_time_p95_ms,gc_time_p99_ms,note
atcb,10000,0.5,0.2,0.85,42,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.5_hw0.85_uc0.9_s42_a0.4_b0.4_g0.1_e0.1"
greedy,10000,0.5,0.2,0.85,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,greedy_u0.5_hw0.85_uc1.0_s123"
cb,10000,0.5,0.2,0.85,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,cb_u0.5_hw0.85_uc1.0_s123"
atcb,10000,0.5,0.2,0.85,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.5_hw0.85_uc1.0_s123_a0.5_b0.3_g0.1_e0.1"
atcb,10000,0.5,0.2,0.85,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.5_hw0.85_uc1.0_s123_a0.6_b0.2_g0.1_e0.1"
atcb,10000,0.5,0.2,0.85,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.5_hw0.85_uc1.0_s123_a0.4_b0.4_g0.1_e0.1"
greedy,10000,0.5,0.2,0.85,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,greedy_u0.5_hw0.85_uc0.9_s123"
cb,10000,0.5,0.2,0.85,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,cb_u0.5_hw0.85_uc0.9_s123"
atcb,10000,0.5,0.2,0.85,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.5_hw0.85_uc0.9_s123_a0.5_b0.3_g0.1_e0.1"
atcb,10000,0.5,0.2,0.85,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.5_hw0.85_uc0.9_s123_a0.6_b0.2_g0.1_e0.1"
atcb,10000,0.5,0.2,0.85,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.5_hw0.85_uc0.9_s123_a0.4_b0.4_g0.1_e0.1"
greedy,10000,0.8,0.2,0.6,42,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,greedy_u0.8_hw0.6_uc1.0_s42"
cb,10000,0.8,0.2,0.6,42,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,cb_u0.8_hw0.6_uc1.0_s42"
atcb,10000,0.8,0.2,0.6,42,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.6_uc1.0_s42_a0.5_b0.3_g0.1_e0.1"
atcb,10000,0.8,0.2,0.6,42,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.6_uc1.0_s42_a0.6_b0.2_g0.1_e0.1"
atcb,10000,0.8,0.2,0.6,42,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.6_uc1.0_s42_a0.4_b0.4_g0.1_e0.1"
greedy,10000,0.8,0.2,0.6,42,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,greedy_u0.8_hw0.6_uc0.9_s42"
cb,10000,0.8,0.2,0.6,42,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,cb_u0.8_hw0.6_uc0.9_s42"
atcb,10000,0.8,0.2,0.6,42,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.6_uc0.9_s42_a0.5_b0.3_g0.1_e0.1"
atcb,10000,0.8,0.2,0.6,42,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.6_uc0.9_s42_a0.6_b0.2_g0.1_e0.1"
atcb,10000,0.8,0.2,0.6,42,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.6_uc0.9_s42_a0.4_b0.4_g0.1_e0.1"
greedy,10000,0.8,0.2,0.6,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,greedy_u0.8_hw0.6_uc1.0_s123"
cb,10000,0.8,0.2,0.6,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,cb_u0.8_hw0.6_uc1.0_s123"
atcb,10000,0.8,0.2,0.6,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.6_uc1.0_s123_a0.5_b0.3_g0.1_e0.1"
atcb,10000,0.8,0.2,0.6,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.6_uc1.0_s123_a0.6_b0.2_g0.1_e0.1"
atcb,10000,0.8,0.2,0.6,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.6_uc1.0_s123_a0.4_b0.4_g0.1_e0.1"
greedy,10000,0.8,0.2,0.6,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,greedy_u0.8_hw0.6_uc0.9_s123"
cb,10000,0.8,0.2,0.6,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,cb_u0.8_hw0.6_uc0.9_s123"
atcb,10000,0.8,0.2,0.6,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.6_uc0.9_s123_a0.5_b0.3_g0.1_e0.1"
atcb,10000,0.8,0.2,0.6,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.6_uc0.9_s123_a0.6_b0.2_g0.1_e0.1"
atcb,10000,0.8,0.2,0.6,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.6_uc0.9_s123_a0.4_b0.4_g0.1_e0.1"
greedy,10000,0.8,0.2,0.85,42,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,greedy_u0.8_hw0.85_uc1.0_s42"
cb,10000,0.8,0.2,0.85,42,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,cb_u0.8_hw0.85_uc1.0_s42"
atcb,10000,0.8,0.2,0.85,42,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.85_uc1.0_s42_a0.5_b0.3_g0.1_e0.1"
atcb,10000,0.8,0.2,0.85,42,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.85_uc1.0_s42_a0.6_b0.2_g0.1_e0.1"
atcb,10000,0.8,0.2,0.85,42,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.85_uc1.0_s42_a0.4_b0.4_g0.1_e0.1"
greedy,10000,0.8,0.2,0.85,42,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,greedy_u0.8_hw0.85_uc0.9_s42"
cb,10000,0.8,0.2,0.85,42,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,cb_u0.8_hw0.85_uc0.9_s42"
atcb,10000,0.8,0.2,0.85,42,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.85_uc0.9_s42_a0.5_b0.3_g0.1_e0.1"
atcb,10000,0.8,0.2,0.85,42,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.85_uc0.9_s42_a0.6_b0.2_g0.1_e0.1"
atcb,10000,0.8,0.2,0.85,42,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.85_uc0.9_s42_a0.4_b0.4_g0.1_e0.1"
greedy,10000,0.8,0.2,0.85,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,greedy_u0.8_hw0.85_uc1.0_s123"
cb,10000,0.8,0.2,0.85,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,cb_u0.8_hw0.85_uc1.0_s123"
atcb,10000,0.8,0.2,0.85,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.85_uc1.0_s123_a0.5_b0.3_g0.1_e0.1"
atcb,10000,0.8,0.2,0.85,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.85_uc1.0_s123_a0.6_b0.2_g0.1_e0.1"
atcb,10000,0.8,0.2,0.85,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.85_uc1.0_s123_a0.4_b0.4_g0.1_e0.1"
greedy,10000,0.8,0.2,0.85,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,greedy_u0.8_hw0.85_uc0.9_s123"
cb,10000,0.8,0.2,0.85,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,cb_u0.8_hw0.85_uc0.9_s123"
atcb,10000,0.8,0.2,0.85,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.85_uc0.9_s123_a0.5_b0.3_g0.1_e0.1"
atcb,10000,0.8,0.2,0.85,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.85_uc0.9_s123_a0.6_b0.2_g0.1_e0.1"
atcb,10000,0.8,0.2,0.85,123,10000,10000,1.0,0,0.0,0,0,0,6384,16384,0.0,0.0,0.0,0.0,0.0,"0.0,0.0,0.0,atcb_u0.8_hw0.85_uc0.9_s123_a0.4_b0.4_g0.1_e0.1"
